,Selamat,PCLASS,Gender,Umur,SIBSA,PARCA,Tarif,Male
0,True,3,True,22,1,0,7.25,True
1,False,1,False,38,1,0,71.2833,False
2,False,3,False,26,0,0,7.925,False
3,False,1,False,35,1,0,53.1,False
4,True,3,True,35,0,0,8.05,True
5,True,3,True,27,0,0,8.4583,True
6,True,1,True,54,0,0,51.8625,True
7,True,3,True,2,3,1,21.075,True
8,False,3,False,27,0,2,11.1333,False
9,False,2,False,14,1,0,30.0708,False
10,False,3,False,4,1,1,16.7,False
11,False,1,False,58,0,0,26.55,False
12,True,3,True,20,0,0,8.05,True
13,True,3,True,39,1,5,31.275,True
14,True,3,False,14,0,0,7.8542,False
15,False,2,False,55,0,0,16.0,False
16,True,3,True,2,4,1,29.125,True
17,False,2,True,23,0,0,13.0,True
18,True,3,False,31,1,0,18.0,False
19,False,3,False,22,0,0,7.225,False
20,True,2,True,35,0,0,26.0,True
21,False,2,True,34,0,0,13.0,True
22,False,3,False,15,0,0,8.0292,False
23,False,1,True,28,0,0,35.5,True
24,True,3,False,8,3,1,21.075,False
25,False,3,False,38,1,5,31.3875,False
26,True,3,True,26,0,0,7.225,True
27,True,1,True,19,3,2,263.0,True
28,False,3,False,24,0,0,7.8792,False
29,True,3,True,23,0,0,7.8958,True
30,True,1,True,40,0,0,27.7208,True
31,False,1,False,48,1,0,146.5208,False
32,False,3,False,18,0,0,7.75,False
33,True,2,True,66,0,0,10.5,True
34,True,1,True,28,1,0,82.1708,True
35,True,1,True,42,1,0,52.0,True
36,False,3,True,18,0,0,7.2292,True
37,True,3,True,21,0,0,8.05,True
38,True,3,False,18,2,0,18.0,False
39,False,3,False,14,1,0,11.2417,False
40,True,3,False,40,1,0,9.475,False
41,True,2,False,27,1,0,21.0,False
42,False,2,False,3,1,2,41.5792,False
43,False,3,False,19,0,0,7.8792,False
44,True,3,True,30,0,0,8.05,True
45,True,3,True,20,1,0,15.5,True
46,False,3,False,27,0,0,7.75,False
47,True,3,True,16,2,0,21.6792,True
48,True,3,False,18,1,0,17.8,False
49,True,3,True,7,4,1,39.6875,True
50,True,3,True,21,0,0,7.8,True
51,False,1,False,49,1,0,76.7292,False
52,False,2,False,29,1,0,26.0,False
53,True,1,True,65,0,1,61.9792,True
54,False,1,True,46,0,0,35.5,True
55,False,2,False,21,0,0,10.5,False
56,True,3,True,28,0,0,7.2292,True
57,False,2,False,5,1,2,27.75,False
58,True,3,True,11,5,2,46.9,True
59,True,3,True,22,0,0,7.2292,True
60,False,1,False,38,0,0,80.0,False
61,True,1,True,45,1,0,83.475,True
62,True,3,True,4,3,2,27.9,True
63,True,1,True,64,0,0,27.7208,True
64,False,3,True,7,1,1,15.2458,True
65,False,2,False,29,0,0,10.5,False
66,True,3,True,19,0,0,8.1583,True
67,False,3,False,17,4,2,7.925,False
68,True,3,True,26,2,0,8.6625,True
69,True,2,True,32,0,0,10.5,True
70,True,3,False,16,5,2,46.9,False
71,True,2,True,21,0,0,73.5,True
72,True,3,True,26,1,0,14.4542,True
73,False,3,True,32,0,0,56.4958,True
74,True,3,True,25,0,0,7.65,True
75,True,3,True,23,0,0,7.8958,True
76,True,3,True,28,0,0,8.05,True
77,False,2,True,0,0,2,29.0,True
78,False,3,False,30,0,0,12.475,False
79,True,3,True,22,0,0,9.0,True
80,False,3,True,29,0,0,9.5,True
81,False,3,False,31,0,0,7.7875,False
82,True,1,True,28,0,0,47.1,True
83,False,2,False,17,0,0,10.5,False
84,False,3,False,33,3,0,15.85,False
85,True,3,True,16,1,3,34.375,True
86,True,3,True,20,0,0,8.05,True
87,False,1,False,23,3,2,263.0,False
88,True,3,True,24,0,0,8.05,True
89,True,3,True,29,0,0,8.05,True
90,True,3,True,20,0,0,7.8542,True
91,True,1,True,46,1,0,61.175,True
92,True,3,True,26,1,2,20.575,True
93,True,3,True,59,0,0,7.25,True
94,True,3,True,22,0,0,8.05,True
95,True,1,True,71,0,0,34.6542,True
96,False,1,True,23,0,1,63.3583,True
97,False,2,False,34,0,1,23.0,False
98,True,2,True,34,1,0,26.0,True
99,True,3,False,28,0,0,7.8958,False
100,True,3,True,29,0,0,7.8958,True
101,True,1,True,21,0,1,77.2875,True
102,True,3,True,33,0,0,8.6542,True
103,True,3,True,37,2,0,7.925,True
104,True,3,True,28,0,0,7.8958,True
105,False,3,False,21,0,0,7.65,False
106,False,3,True,29,0,0,7.775,True
107,True,3,True,38,0,0,7.8958,True
108,False,3,False,28,1,0,24.15,False
109,True,1,True,47,0,0,52.0,True
110,True,3,False,14,1,0,14.4542,False
111,True,3,True,22,0,0,8.05,True
112,True,3,False,20,1,0,9.825,False
113,True,3,False,17,0,0,14.4583,False
114,True,3,True,21,0,0,7.925,True
115,True,3,True,70,0,0,7.75,True
116,True,2,True,29,1,0,21.0,True
117,True,1,True,24,0,1,247.5208,True
118,True,3,False,2,4,2,31.275,False
119,True,2,True,21,2,0,73.5,True
120,True,3,True,19,0,0,8.05,True
121,True,2,True,32,1,0,30.0708,True
122,False,2,False,32,0,0,13.0,False
123,True,1,True,54,0,1,77.2875,True
124,False,3,True,12,1,0,11.2417,True
125,True,3,True,19,0,0,7.75,True
126,False,3,True,24,0,0,7.1417,True
127,False,3,False,2,1,1,22.3583,False
128,True,3,True,45,0,0,6.975,True
129,True,3,True,33,0,0,7.8958,True
130,True,3,True,20,0,0,7.05,True
131,True,3,False,47,1,0,14.5,False
132,False,2,False,29,1,0,26.0,False
133,True,2,True,25,0,0,13.0,True
134,True,2,True,23,0,0,15.0458,True
135,False,1,False,19,0,2,26.2833,False
136,True,1,True,37,1,0,53.1,True
137,True,3,True,16,0,0,9.2167,True
138,True,1,True,24,0,0,79.2,True
139,True,3,False,40,0,2,15.2458,False
140,False,3,False,22,0,0,7.75,False
141,False,3,False,24,1,0,15.85,False
142,True,3,True,19,0,0,6.75,True
143,True,2,True,18,0,0,11.5,True
144,True,2,True,19,1,1,36.75,True
145,False,3,True,27,0,0,7.7958,True
146,True,3,False,9,2,2,34.375,False
147,True,2,True,36,0,2,26.0,True
148,True,2,True,42,0,0,13.0,True
149,True,2,True,51,0,0,12.525,True
150,False,1,False,22,1,0,66.6,False
151,True,3,True,55,0,0,8.05,True
152,True,3,True,40,0,2,14.5,True
